--- SUPER REALISTIC AUDIT ---
2026-01-13 13:30:00+00:00 | EUR_USD | SHORT | Raw:-1000.00 | Real:-1301.20 | SL
2026-03-02 09:10:00+00:00 | EUR_USD | SHORT | Raw:-939.79 | Real:-1222.86 | SL
2026-03-02 15:45:00+00:00 | EUR_USD | SHORT | Raw:2791.18 | Real:2520.25 | TP
2026-03-02 17:05:00+00:00 | EUR_USD | SHORT | Raw:-958.31 | Real:-1246.95 | SL
2026-03-03 07:30:00+00:00 | EUR_USD | SHORT | Raw:2846.17 | Real:2569.90 | TP
2026-03-03 10:35:00+00:00 | EUR_USD | SHORT | Raw:2931.56 | Real:2647.00 | TP
2026-03-03 12:55:00+00:00 | EUR_USD | SHORT | Raw:-1006.50 | Real:-1309.66 | SL
2026-03-03 15:10:00+00:00 | EUR_USD | SHORT | Raw:2989.31 | Real:2699.15 | TP
2026-03-03 18:30:00+00:00 | EUR_USD | SHORT | Raw:-1026.33 | Real:-1335.46 | SL
2026-03-04 07:15:00+00:00 | EUR_USD | SHORT | Raw:-1016.07 | Real:-1322.10 | SL
2026-03-04 08:05:00+00:00 | EUR_USD | LONG | Raw:-1005.91 | Real:-1308.88 | SL
2026-03-05 05:55:00+00:00 | EUR_USD | LONG | Raw:-995.85 | Real:-1295.79 | SL
2026-03-05 06:50:00+00:00 | EUR_USD | SHORT | Raw:-985.89 | Real:-1282.84 | SL
2026-03-05 09:05:00+00:00 | EUR_USD | SHORT | Raw:-976.03 | Real:-1270.01 | SL
2026-03-05 09:35:00+00:00 | EUR_USD | LONG | Raw:-966.27 | Real:-1257.31 | SL
2026-03-05 12:35:00+00:00 | EUR_USD | SHORT | Raw:-956.61 | Real:-1244.74 | SL
2026-03-05 16:05:00+00:00 | EUR_USD | SHORT | Raw:2841.12 | Real:2565.34 | TP
2026-03-05 18:40:00+00:00 | EUR_USD | SHORT | Raw:-975.45 | Real:-1269.26 | SL
2026-03-05 20:10:00+00:00 | EUR_USD | SHORT | Raw:-965.70 | Real:-1256.56 | SL
2026-03-06 09:20:00+00:00 | EUR_USD | LONG | Raw:-956.04 | Real:-1244.00 | SL
2026-03-06 13:30:00+00:00 | EUR_USD | SHORT | Raw:-946.48 | Real:-1231.56 | SL
2026-03-06 15:00:00+00:00 | EUR_USD | SHORT | Raw:-937.01 | Real:-1219.24 | SL
2026-03-09 00:00:00+00:00 | EUR_USD | LONG | Raw:-927.64 | Real:-1207.05 | SL
2026-03-09 02:40:00+00:00 | EUR_USD | SHORT | Raw:-918.37 | Real:-1194.98 | SL
2026-03-09 08:30:00+00:00 | EUR_USD | LONG | Raw:-909.18 | Real:-1183.03 | SL
2026-03-09 14:05:00+00:00 | EUR_USD | LONG | Raw:-900.09 | Real:-1171.20 | SL
2026-03-09 19:45:00+00:00 | EUR_USD | LONG | Raw:2673.27 | Real:2413.79 | TP
2026-03-10 00:00:00+00:00 | EUR_USD | LONG | Raw:-917.82 | Real:-1194.27 | SL
2026-03-10 03:25:00+00:00 | EUR_USD | LONG | Raw:-908.65 | Real:-1182.33 | SL
2026-03-10 07:50:00+00:00 | EUR_USD | LONG | Raw:2698.68 | Real:2436.73 | TP
2026-03-10 12:05:00+00:00 | EUR_USD | LONG | Raw:-926.55 | Real:-1205.62 | SL
2026-03-10 18:15:00+00:00 | EUR_USD | LONG | Raw:-917.28 | Real:-1193.57 | SL
2026-03-11 06:10:00+00:00 | EUR_USD | SHORT | Raw:-908.11 | Real:-1181.63 | SL
2026-03-11 12:30:00+00:00 | EUR_USD | SHORT | Raw:2697.08 | Real:2435.28 | TP
2026-03-11 22:40:00+00:00 | EUR_USD | SHORT | Raw:2777.99 | Real:2508.34 | TP
2026-03-13 03:30:00+00:00 | EUR_USD | SHORT | Raw:2861.33 | Real:2583.59 | TP
2026-03-13 08:05:00+00:00 | EUR_USD | SHORT | Raw:2947.17 | Real:2661.10 | TP
2026-03-13 09:05:00+00:00 | EUR_USD | SHORT | Raw:-1011.86 | Real:-1316.64 | SL
2026-03-13 12:25:00+00:00 | EUR_USD | SHORT | Raw:-1001.74 | Real:-1303.47 | SL
2026-03-16 00:35:00+00:00 | EUR_USD | SHORT | Raw:-991.73 | Real:-1290.43 | SL
2026-03-16 10:15:00+00:00 | EUR_USD | SHORT | Raw:-981.81 | Real:-1277.53 | SL
2026-03-16 18:25:00+00:00 | EUR_USD | LONG | Raw:2915.97 | Real:2632.93 | TP
2026-03-16 20:15:00+00:00 | EUR_USD | LONG | Raw:-1001.15 | Real:-1302.70 | SL
2026-03-17 06:00:00+00:00 | EUR_USD | LONG | Raw:-991.14 | Real:-1289.67 | SL
2026-03-17 07:05:00+00:00 | EUR_USD | SHORT | Raw:-981.23 | Real:-1276.77 | SL
2026-03-18 13:10:00+00:00 | EUR_USD | LONG | Raw:-971.42 | Real:-1264.01 | SL
2026-03-18 15:05:00+00:00 | EUR_USD | SHORT | Raw:-961.70 | Real:-1251.37 | SL
2026-03-18 20:10:00+00:00 | EUR_USD | SHORT | Raw:2856.25 | Real:2579.01 | TP
2026-03-19 00:55:00+00:00 | EUR_USD | SHORT | Raw:-980.65 | Real:-1276.02 | SL
2026-03-19 13:00:00+00:00 | EUR_USD | SHORT | Raw:-970.84 | Real:-1263.26 | SL
2026-03-19 15:45:00+00:00 | EUR_USD | LONG | Raw:-961.13 | Real:-1250.63 | SL
2026-03-19 19:50:00+00:00 | EUR_USD | LONG | Raw:-951.52 | Real:-1238.12 | SL
2026-03-20 01:20:00+00:00 | EUR_USD | LONG | Raw:-942.01 | Real:-1225.74 | SL
2026-03-20 10:00:00+00:00 | EUR_USD | LONG | Raw:-932.59 | Real:-1213.48 | SL
2026-03-20 14:20:00+00:00 | EUR_USD | LONG | Raw:-923.26 | Real:-1201.35 | SL
2026-03-23 09:20:00+00:00 | EUR_USD | SHORT | Raw:2742.08 | Real:2475.92 | TP
2026-03-23 11:05:00+00:00 | EUR_USD | SHORT | Raw:-941.45 | Real:-1225.01 | SL
2026-03-23 13:20:00+00:00 | EUR_USD | LONG | Raw:-932.03 | Real:-1212.76 | SL
2026-03-23 14:30:00+00:00 | EUR_USD | LONG | Raw:2768.14 | Real:2499.45 | TP
2026-03-23 15:25:00+00:00 | EUR_USD | LONG | Raw:-950.39 | Real:-1236.65 | SL
2026-03-23 18:35:00+00:00 | EUR_USD | LONG | Raw:2822.67 | Real:2548.68 | TP
2026-03-24 00:05:00+00:00 | EUR_USD | LONG | Raw:-969.12 | Real:-1261.02 | SL
2026-03-24 04:10:00+00:00 | EUR_USD | LONG | Raw:-959.43 | Real:-1248.41 | SL
2026-03-24 17:05:00+00:00 | EUR_USD | LONG | Raw:-949.83 | Real:-1235.92 | SL
2026-03-24 18:35:00+00:00 | EUR_USD | SHORT | Raw:-940.33 | Real:-1223.56 | SL
2026-03-24 20:30:00+00:00 | EUR_USD | LONG | Raw:-930.93 | Real:-1211.33 | SL
2026-03-25 02:50:00+00:00 | EUR_USD | LONG | Raw:-921.62 | Real:-1199.21 | SL
2026-03-25 08:10:00+00:00 | EUR_USD | SHORT | Raw:-912.40 | Real:-1187.22 | SL
2026-03-25 12:45:00+00:00 | EUR_USD | LONG | Raw:-903.28 | Real:-1175.35 | SL
2026-03-26 11:45:00+00:00 | EUR_USD | SHORT | Raw:2682.74 | Real:2422.34 | TP
2026-03-26 13:25:00+00:00 | EUR_USD | SHORT | Raw:-921.08 | Real:-1198.50 | SL
2026-03-27 12:05:00+00:00 | EUR_USD | SHORT | Raw:2735.59 | Real:2470.06 | TP
2026-03-30 12:00:00+00:00 | EUR_USD | SHORT | Raw:2817.66 | Real:2544.16 | TP
2026-03-31 01:20:00+00:00 | EUR_USD | SHORT | Raw:-967.40 | Real:-1258.78 | SL
2026-03-31 11:55:00+00:00 | EUR_USD | SHORT | Raw:-957.72 | Real:-1246.19 | SL
2026-03-31 16:40:00+00:00 | EUR_USD | LONG | Raw:2844.44 | Real:2568.34 | TP
2026-04-01 08:25:00+00:00 | EUR_USD | LONG | Raw:2929.77 | Real:2645.39 | TP
2026-04-01 09:15:00+00:00 | EUR_USD | LONG | Raw:-1005.89 | Real:-1308.86 | SL
2026-04-01 18:00:00+00:00 | EUR_USD | LONG | Raw:-995.83 | Real:-1295.77 | SL
2026-04-02 02:35:00+00:00 | EUR_USD | SHORT | Raw:2957.61 | Real:2670.53 | TP
2026-04-02 15:05:00+00:00 | EUR_USD | SHORT | Raw:-1015.45 | Real:-1321.30 | SL
2026-01-13 15:00:00+00:00 | GBP_USD | LONG | Raw:-1005.29 | Real:-1636.08 | SL
2026-01-14 09:35:00+00:00 | GBP_USD | SHORT | Raw:-995.24 | Real:-1619.72 | SL
2026-01-14 13:10:00+00:00 | GBP_USD | LONG | Raw:-985.29 | Real:-1603.52 | SL
2026-01-14 17:15:00+00:00 | GBP_USD | LONG | Raw:-975.43 | Real:-1587.49 | SL
2026-01-15 13:25:00+00:00 | GBP_USD | SHORT | Raw:2897.04 | Real:2307.20 | TP
2026-01-15 16:25:00+00:00 | GBP_USD | SHORT | Raw:-994.65 | Real:-1618.76 | SL
2026-01-16 09:40:00+00:00 | GBP_USD | SHORT | Raw:-984.70 | Real:-1602.57 | SL
2026-01-16 13:15:00+00:00 | GBP_USD | LONG | Raw:-974.86 | Real:-1586.55 | SL
2026-01-16 15:20:00+00:00 | GBP_USD | LONG | Raw:-965.11 | Real:-1570.68 | SL
2026-01-16 16:00:00+00:00 | GBP_USD | SHORT | Raw:-955.46 | Real:-1554.97 | SL
2026-01-19 00:00:00+00:00 | GBP_USD | SHORT | Raw:-945.90 | Real:-1539.42 | SL
2026-01-19 16:30:00+00:00 | GBP_USD | LONG | Raw:2809.33 | Real:2237.35 | TP
2026-01-19 23:50:00+00:00 | GBP_USD | LONG | Raw:-964.54 | Real:-1569.75 | SL
2026-01-20 07:35:00+00:00 | GBP_USD | LONG | Raw:2864.67 | Real:2281.43 | TP
2026-01-20 11:30:00+00:00 | GBP_USD | LONG | Raw:-983.54 | Real:-1600.68 | SL
2026-01-20 12:30:00+00:00 | GBP_USD | LONG | Raw:-973.70 | Real:-1584.67 | SL
2026-01-20 13:30:00+00:00 | GBP_USD | SHORT | Raw:-963.97 | Real:-1568.82 | SL
2026-01-20 19:10:00+00:00 | GBP_USD | LONG | Raw:-954.33 | Real:-1553.13 | SL
2026-01-20 21:55:00+00:00 | GBP_USD | SHORT | Raw:-944.78 | Real:-1537.60 | SL
2026-01-21 01:25:00+00:00 | GBP_USD | SHORT | Raw:-935.33 | Real:-1522.23 | SL
2026-01-21 10:30:00+00:00 | GBP_USD | SHORT | Raw:2777.94 | Real:2212.36 | TP
2026-01-21 12:30:00+00:00 | GBP_USD | SHORT | Raw:-953.76 | Real:-1552.21 | SL
2026-01-22 11:15:00+00:00 | GBP_USD | LONG | Raw:-944.22 | Real:-1536.69 | SL
2026-01-22 11:45:00+00:00 | GBP_USD | SHORT | Raw:-934.78 | Real:-1521.33 | SL
2026-01-22 14:35:00+00:00 | GBP_USD | SHORT | Raw:-925.43 | Real:-1506.11 | SL
2026-01-22 16:10:00+00:00 | GBP_USD | LONG | Raw:2748.54 | Real:2188.93 | TP
2026-01-23 15:00:00+00:00 | GBP_USD | LONG | Raw:2830.99 | Real:2254.60 | TP
2026-01-23 16:40:00+00:00 | GBP_USD | LONG | Raw:2915.92 | Real:2322.24 | TP
2026-01-23 21:05:00+00:00 | GBP_USD | LONG | Raw:3003.40 | Real:2391.91 | TP
2026-01-26 14:45:00+00:00 | GBP_USD | LONG | Raw:3093.50 | Real:2463.67 | TP
2026-01-26 17:45:00+00:00 | GBP_USD | LONG | Raw:-1062.10 | Real:-1728.54 | SL
2026-01-26 19:15:00+00:00 | GBP_USD | LONG | Raw:-1051.48 | Real:-1711.25 | SL
2026-01-27 12:15:00+00:00 | GBP_USD | LONG | Raw:3122.90 | Real:2487.08 | TP
2026-01-27 15:05:00+00:00 | GBP_USD | LONG | Raw:3216.59 | Real:2561.69 | TP
2026-01-27 17:15:00+00:00 | GBP_USD | LONG | Raw:-1104.36 | Real:-1797.31 | SL
2026-01-27 20:45:00+00:00 | GBP_USD | LONG | Raw:3279.95 | Real:2612.16 | TP
2026-01-27 21:00:00+00:00 | GBP_USD | LONG | Raw:-1126.12 | Real:-1832.72 | SL
2026-01-28 01:20:00+00:00 | GBP_USD | LONG | Raw:-1114.86 | Real:-1814.39 | SL
2026-01-28 08:50:00+00:00 | GBP_USD | LONG | Raw:-1103.71 | Real:-1796.25 | SL
2026-01-28 20:00:00+00:00 | GBP_USD | SHORT | Raw:-1092.67 | Real:-1778.29 | SL
2026-01-29 02:00:00+00:00 | GBP_USD | LONG | Raw:-1081.74 | Real:-1760.50 | SL
2026-01-29 10:40:00+00:00 | GBP_USD | LONG | Raw:-1070.93 | Real:-1742.90 | SL
2026-01-29 12:55:00+00:00 | GBP_USD | SHORT | Raw:-1060.22 | Real:-1725.47 | SL
2026-01-29 15:05:00+00:00 | GBP_USD | LONG | Raw:-1049.62 | Real:-1708.21 | SL
2026-01-29 17:00:00+00:00 | GBP_USD | SHORT | Raw:-1039.12 | Real:-1691.13 | SL
2026-01-30 00:30:00+00:00 | GBP_USD | LONG | Raw:-1028.73 | Real:-1674.22 | SL
2026-01-30 02:20:00+00:00 | GBP_USD | SHORT | Raw:3055.32 | Real:2433.26 | TP
2026-01-30 04:05:00+00:00 | GBP_USD | SHORT | Raw:-1048.99 | Real:-1707.20 | SL
2026-01-30 07:55:00+00:00 | GBP_USD | SHORT | Raw:-1038.50 | Real:-1690.13 | SL
2026-01-30 12:00:00+00:00 | GBP_USD | SHORT | Raw:-1028.12 | Real:-1673.23 | SL
2026-01-30 17:10:00+00:00 | GBP_USD | SHORT | Raw:3053.51 | Real:2431.82 | TP
2026-01-30 19:00:00+00:00 | GBP_USD | SHORT | Raw:-1048.37 | Real:-1706.19 | SL
2026-02-02 10:15:00+00:00 | GBP_USD | SHORT | Raw:-1037.89 | Real:-1689.13 | SL
2026-02-02 14:10:00+00:00 | GBP_USD | SHORT | Raw:3082.53 | Real:2454.93 | TP
2026-02-02 16:20:00+00:00 | GBP_USD | SHORT | Raw:-1058.34 | Real:-1722.41 | SL
2026-02-02 20:50:00+00:00 | GBP_USD | SHORT | Raw:-1047.75 | Real:-1705.18 | SL
2026-02-02 23:40:00+00:00 | GBP_USD | SHORT | Raw:-1037.27 | Real:-1688.13 | SL
2026-02-03 10:55:00+00:00 | GBP_USD | LONG | Raw:-1026.90 | Real:-1671.25 | SL
2026-02-04 01:20:00+00:00 | GBP_USD | LONG | Raw:3049.90 | Real:2428.94 | TP
2026-02-04 14:10:00+00:00 | GBP_USD | LONG | Raw:-1047.13 | Real:-1704.17 | SL
2026-02-05 05:55:00+00:00 | GBP_USD | SHORT | Raw:3109.98 | Real:2476.79 | TP
2026-02-05 09:35:00+00:00 | GBP_USD | SHORT | Raw:3203.28 | Real:2551.09 | TP
2026-02-05 10:10:00+00:00 | GBP_USD | SHORT | Raw:-1099.79 | Real:-1789.88 | SL
2026-02-05 16:25:00+00:00 | GBP_USD | SHORT | Raw:-1088.80 | Real:-1771.98 | SL
2026-02-06 04:50:00+00:00 | GBP_USD | SHORT | Raw:-1077.91 | Real:-1754.26 | SL
2026-02-06 06:10:00+00:00 | GBP_USD | SHORT | Raw:-1067.13 | Real:-1736.72 | SL
2026-02-06 17:50:00+00:00 | GBP_USD | LONG | Raw:3169.37 | Real:2524.09 | TP
2026-02-09 01:25:00+00:00 | GBP_USD | LONG | Raw:-1088.15 | Real:-1770.93 | SL
2026-02-09 08:35:00+00:00 | GBP_USD | LONG | Raw:-1077.27 | Real:-1753.22 | SL
2026-02-09 10:55:00+00:00 | GBP_USD | SHORT | Raw:-1066.50 | Real:-1735.69 | SL
2026-02-09 13:05:00+00:00 | GBP_USD | LONG | Raw:3167.49 | Real:2522.59 | TP
2026-02-09 14:05:00+00:00 | GBP_USD | LONG | Raw:-1087.51 | Real:-1769.88 | SL
2026-02-09 14:35:00+00:00 | GBP_USD | LONG | Raw:-1076.63 | Real:-1752.18 | SL
2026-02-10 21:05:00+00:00 | GBP_USD | LONG | Raw:-1065.86 | Real:-1734.66 | SL
2026-02-11 02:30:00+00:00 | GBP_USD | SHORT | Raw:-1055.21 | Real:-1717.31 | SL
2026-02-11 10:55:00+00:00 | GBP_USD | LONG | Raw:3133.96 | Real:2495.89 | TP
2026-02-11 13:30:00+00:00 | GBP_USD | LONG | Raw:-1075.99 | Real:-1751.14 | SL
2026-02-11 13:40:00+00:00 | GBP_USD | SHORT | Raw:-1065.23 | Real:-1733.63 | SL
2026-02-11 15:00:00+00:00 | GBP_USD | SHORT | Raw:-1054.58 | Real:-1716.30 | SL
2026-02-11 15:20:00+00:00 | GBP_USD | SHORT | Raw:-1044.04 | Real:-1699.13 | SL
2026-02-12 14:30:00+00:00 | GBP_USD | SHORT | Raw:-1033.60 | Real:-1682.14 | SL
2026-02-12 16:10:00+00:00 | GBP_USD | LONG | Raw:-1023.26 | Real:-1665.32 | SL
2026-02-13 15:10:00+00:00 | GBP_USD | SHORT | Raw:-1013.03 | Real:-1648.67 | SL
2026-02-13 17:05:00+00:00 | GBP_USD | SHORT | Raw:-1002.90 | Real:-1632.18 | SL
2026-02-16 01:00:00+00:00 | GBP_USD | LONG | Raw:-992.87 | Real:-1615.86 | SL
2026-02-16 16:15:00+00:00 | GBP_USD | LONG | Raw:-982.94 | Real:-1599.70 | SL
2026-02-17 07:05:00+00:00 | GBP_USD | SHORT | Raw:2919.33 | Real:2324.95 | TP
2026-02-17 08:05:00+00:00 | GBP_USD | SHORT | Raw:-1002.30 | Real:-1631.21 | SL
2026-02-17 13:00:00+00:00 | GBP_USD | SHORT | Raw:2976.84 | Real:2370.75 | TP
2026-02-17 18:25:00+00:00 | GBP_USD | SHORT | Raw:-1022.05 | Real:-1663.35 | SL
2026-02-18 02:10:00+00:00 | GBP_USD | LONG | Raw:-1011.83 | Real:-1646.72 | SL
2026-02-18 14:20:00+00:00 | GBP_USD | LONG | Raw:-1001.71 | Real:-1630.25 | SL
2026-02-18 19:25:00+00:00 | GBP_USD | SHORT | Raw:2975.08 | Real:2369.35 | TP
2026-02-19 08:20:00+00:00 | GBP_USD | SHORT | Raw:-1021.44 | Real:-1662.36 | SL
2026-02-19 11:55:00+00:00 | GBP_USD | SHORT | Raw:3033.69 | Real:2416.03 | TP
2026-02-20 09:30:00+00:00 | GBP_USD | SHORT | Raw:-1041.57 | Real:-1695.11 | SL
2026-02-23 00:00:00+00:00 | GBP_USD | LONG | Raw:3093.45 | Real:2463.62 | TP
2026-02-23 03:20:00+00:00 | GBP_USD | LONG | Raw:-1062.08 | Real:-1728.51 | SL
2026-02-23 10:20:00+00:00 | GBP_USD | LONG | Raw:-1051.46 | Real:-1711.22 | SL
